"sex","location","foraging_height"
"Male","KI",0.845411924163397
"Male","KI",0.953658530410761
"Male","KI",0.941962314861868
"Male","KI",0.841637280078972
"Male","KI",0.984746001731194
"Male","KI",0.926602197936489
"Male","KI",0.944458527036042
"Male","KI",0.853350487643424
"Male","KI",0.81516299560511
"Male","KI",0.900231194241577
"Male","KI",0.768309187570038
"Male","KI",0.959826911269469
"Male","KI",0.82377856296541
"Male","KI",0.757090969675924
"Male","KI",0.933224444901342
"Male","KI",0.853093931239151
"Male","KI",0.866501320641594
"Male","KI",1.05362521555058
"Male","KI",0.960999453325369
"Male","KI",0.951633569843567
"Male","KI",0.892569143867689
"Male","KI",0.839484305362381
"Male","KI",0.729035481510108
"Male","KI",0.873130689461883
"Male","KI",0.835140849324469
"Male","KI",0.890588987320522
"Male","KI",0.891445904892475
"Male","KI",0.911953107089329
"Male","KI",0.888370360733132
"Male","KI",0.805617276380844
"Male","MLR",0.198313103804409
"Male","MLR",0.170728622149017
"Male","MLR",0.230642568151843
"Male","MLR",0.275856124731166
"Male","MLR",0.232869021837552
"Male","MLR",0.146290933169413
"Male","MLR",0.01
"Male","MLR",0.218452251036345
"Male","MLR",0.208461334564047
"Male","MLR",0.108890484081362
"Male","MLR",0.203367884984999
"Male","MLR",0.200855298086567
"Male","MLR",0.182817031610808
"Male","MLR",0.166605390165422
"Male","MLR",0.187212771563381
"Male","MLR",0.176939602072324
"Male","MLR",0.273582079121302
"Male","MLR",0.19540198416315
"Male","MLR",0.21675971490475
"Male","MLR",0.18840677034017
"Male","MLR",0.226332627923677
"Male","MLR",0.146318696743571
"Male","MLR",0.238484093801245
"Male","MLR",0.288545268756987
"Male","MLR",0.190190890536681
"Male","MLR",0.210237486750701
"Male","MLR",0.170170096553489
"Male","MLR",0.258912387445258
"Male","MLR",0.252471061077115
"Male","MLR",0.228049058306921
"Female","KI",0.566166014601672
"Female","KI",0.482656122544713
"Female","KI",0.414773276720592
"Female","KI",0.555485295792767
"Female","KI",0.495710928891269
"Female","KI",0.347601025669311
"Female","KI",0.350889632906551
"Female","KI",0.376192710115892
"Female","KI",0.557968964969204
"Female","KI",0.324590673044227
"Female","KI",0.461503994004795
"Female","KI",0.379111200470259
"Female","KI",0.447954064771024
"Female","KI",0.423781168569778
"Female","KI",0.443923118749048
"Female","KI",0.341626909593319
"Female","KI",0.373135294515221
"Female","KI",0.467996347141486
"Female","KI",0.440147162949888
"Female","KI",0.450083281600992
"Female","KI",0.404300540166089
"Female","KI",0.483809742001859
"Female","KI",0.316129135181929
"Female","KI",0.359117925554252
"Female","KI",0.47889699915392
"Female","KI",0.534549137025613
"Female","KI",0.29056636377564
"Female","KI",0.511150804287178
"Female","KI",0.45057322788311
"Female","KI",0.458157946869095
"Female","MLR",0.138361642221863
"Female","MLR",0.0789818436028048
"Female","MLR",0.109333863471496
"Female","MLR",0.173053465190897
"Female","MLR",0.139255319521407
"Female","MLR",0.156947262405677
"Female","MLR",0.192211518094439
"Female","MLR",0.0845774833394194
"Female","MLR",0.202258432906821
"Female","MLR",0.210508696145925
"Female","MLR",0.154157183627105
"Female","MLR",0.289247351558859
"Female","MLR",0.179764116028498
"Female","MLR",0.153883317472714
"Female","MLR",0.122065169715234
"Female","MLR",0.10966161618355
"Female","MLR",0.124464546950471
"Female","MLR",0.122175643888072
"Female","MLR",0.162056258244317
"Female","MLR",0.12123314887361
"Female","MLR",0.249278486546295
"Female","MLR",0.173160137349384
"Female","MLR",0.164621720512819
"Female","MLR",0.124300867365984
"Female","MLR",0.0882130591108252
"Female","MLR",0.0249384375535501
"Female","MLR",0.080168588061815
"Female","MLR",0.105043237927827
"Female","MLR",0.0836351823110408
"Female","MLR",0.160143321505303
