"Altitude","Richness"
"Low",25.1976217672389
"Low",26.8491125525836
"Low",35.7935415707456
"Low",28.3525419571229
"Low",28.6464386758047
"Low",36.5753249344164
"Low",30.304581029946
"Low",21.6746938269673
"Low",24.5657357405324
"Low",25.7716901495002
"Low",34.1204089871973
"Low",29.7990691352868
"Low",30.0038572529703
"Low",28.5534135797256
"Low",25.2207943262296
"Low",36.9345656840154
"Low",30.4892523911462
"Low",18.1669142168518
"Low",31.5067795078184
"Low",25.6360429613603
"Low",22.6608814700658
"Low",26.9101254267085
"Low",22.8699777584638
"Low",24.3555438535443
"Low",24.8748036607537
"Low",19.5665334462879
"Low",32.1889352224726
"Low",28.7668655891826
"Low",22.3093153149403
"Low",34.2690746053496
"Mid",37.1323211073841
"Mid",33.5246425850386
"Mid",39.4756283052251
"Mid",39.3906674376652
"Mid",39.1079054081874
"Mid",38.4432012705005
"Mid",37.7695882676879
"Mid",34.6904414471164
"Mid",33.4701866813004
"Mid",33.0976449949381
"Mid",31.5264651053974
"Mid",33.960413609902
"Mid",28.6730182421587
"Mid",45.8447798266926
"Mid",41.039809991525
"Mid",29.3844570839833
"Mid",32.9855758235046
"Mid",32.6667232318839
"Mid",38.8998255916816
"Mid",34.5831546676409
"Mid",36.2665925699738
"Mid",34.8572662232565
"Mid",34.7856477135434
"Mid",41.8430114200723
"Mid",33.8711450717037
"Mid",42.5823530221477
"Mid",27.2562359788489
"Mid",37.9230687481803
"Mid",35.6192712192231
"Mid",36.0797078437199
"High",21.8981974137994
"High",17.4883827344535
"High",18.3339630816529
"High",14.9071230844646
"High",14.6410438676221
"High",21.5176432070213
"High",22.2410488931471
"High",20.2650211336525
"High",24.6113373393987
"High",30.2504234281357
"High",17.5448441697173
"High",8.45415562179594
"High",25.0286926223113
"High",16.453996187088
"High",16.5599569176632
"High",25.1278568484835
"High",18.576134964745
"High",13.8964114387273
"High",20.9065173987458
"High",19.3055431878048
"High",20.0288209294994
"High",21.9264020056317
"High",18.146699841038
"High",23.2218827425942
"High",18.8975671909062
"High",21.6589098195785
"High",25.4841950657467
"High",22.175907454169
"High",18.3703420723439
"High",25.7440380922555
