"island_area_log","species_richness","species_richness_log"
5.64720836735796,8.67301236707096,2.160216177629
5.65944774786476,7.62998565753325,2.03208596554797
5.86023638932966,12.0852623310548,2.49198672108202
6.01489776559174,11.9295625795133,2.4790195698478
6.36130707024131,9.54564353608875,2.25608487618198
6.50652132043615,13.7333573770792,2.61982771844403
6.51205908053089,13.8745531328698,2.63005645247384
6.64772251748946,14.0944872975671,2.64578374913097
6.93141922634095,12.9068011299757,2.55775439181428
7.08666954666842,15.2020917506781,2.72143303356032
7.09815157356206,21.1895956246545,3.05351028878781
7.34836920816451,18.4017796867328,2.9124473820427
7.40423108648974,15.4592117316709,2.73820505425723
7.43002255063038,21.630200897172,3.07409052781698
7.50421690684743,22.301801463686,3.10466745832823
7.57949707156513,16.3358361931826,2.79336123402033
7.74177384818904,26.7876170264989,3.2879397294882
7.79497029690538,25.9983020021508,3.25803122827926
7.87149722408503,22.7292106485888,3.12365090996663
7.9248119215481,20.8842908967168,3.03899724461797
7.97985663858708,21.3054403860057,3.05896245728533
8.25906797405332,21.6387121046915,3.07448393763659
8.59056091401726,20.7155320971205,3.03088376176092
8.61338760622311,20.9406466327718,3.04169208523169
8.62346665537916,20.2476918171231,3.00804080271624
8.64938739640638,25.4161991100495,3.23538673098003
8.65804665791802,23.0802684203701,3.13897807157098
8.79163549502846,38.8504086570317,3.65971859560085
8.8407627720153,34.0467171483172,3.52773361526961
8.84891670872457,32.6795770015669,3.48675032625953
8.87058481387794,33.6552221689111,3.51616823480506
8.97994421818294,49.4,3.89995042419388
